isbn13,bk_title,bk_authors,categories,thumbnail,description,published_year
9780446608602,Personal Injuries,Scott Turow,Fiction,http://books.google.com/books/content?id=0NnWtHEBKYIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"To Robbie Feaver the law is all about making a play-to a client, a jury, or a judge. But when the flashy, womanizing, multimillion-dollar personal injury lawyer is caught offering bribes, he's forced to wear a wire. Even as the besieged attorney looks after his ailing wife, Feaver must also make tapes that will hurl his friends, his enemies, his city, and a particular FBI undercover agent into a crisis of conscience and law. Now Robbie Feaver is making the play of his life.",2000
9780446608893,Saving Faith,David Baldacci,Fiction,http://books.google.com/books/content?id=twgvDm-fjRMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When lobbyist Faith Lockhart stumbles upon a corruption scheme at the highest levels of government, she becomes a dangerous witness who the most powerful men in the world will go to any lengths to silence in this #1 New York Times bestselling thriller. In a secluded house not far from Washington, D.C., the FBI is interviewing one of the most important witnesses it has ever had: a young woman named Faith Lockhart. For Faith has done too much, knows too much, and will tell too much. Feared by some of the most powerful men in the world, Faith has been targeted to die. But when a private investigator walks into the middle of the assassination attempt, the shooting suddenly goes wrong, and an FBI agent is killed. Now Faith Lockhart must flee for her life--with her story, her deadly secret, and an unknown man she's forced to trust...",2000
9780446609197,A Highland Christmas,M. C. Beaton,Fiction,http://books.google.com/books/content?id=vu1jewAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"From the author of the Agatha Raisin television series...A HIGHLAND CHRISTMAS: A Hamish Macbeth Mystery Celebrate the Holidays with M. C. Beaton, The Queen of The Cozy Mystery. In the dark, wintry highlands of Lochdubh, Scotland, where the local Calvinist element resists the secular trimmings of Christmas, the spirit of Old St. Nick is about as welcome as a flat tire on a deserted road. Nor is crime taking a holiday, as Constable Hamish Macbeth soon finds himself protecting an unhappy girl, unlocking the secrets of a frightened old woman, and retrieving some stolen holiday goods. Now the lanky lawman must use all his Highland charm and detective skills to make things right. And he had better do it quickly, for the church bells will soon toll and all of Lochdubh will be forced to face another dreary winter without the comforting embrace of Yuletide cheer.",2002
9780446610179,The Sky Is Falling,Sidney Sheldon,Fiction,http://books.google.com/books/content?id=qHC9KKCPgngC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Winthrops are America's royal family, and its Prince Charming is the sexy, charismatic Gary Winthrop. Now the man on his way to becoming the Senate's brightest new star is found murdered in his home-the latest in a series of incidents that have killed five members of the family in a single year. One of the last people to see Gary Winthrop alive is Washington anchorwoman Dana Evans. She makes it her mission to investigate these seemingly random tragedies, little realizing that her search will sweep her across several continents, place her and her young son in grave danger, and lead her to a truth that will astound the world.",2001
9780446611084,Suzanne's Diary for Nicholas,James Patterson,Fiction,http://books.google.com/books/content?id=Yqnglffxl1oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Katie Wilkinson has finally found the perfect man - but one day he suddenly disappears, leaving behind only a diary written by a new mother named Suzanne for her baby, Nicholas. In it she intimately reveals the romance between herself and the child's father, her hopes for their marriage, and her unparalleled joy in motherhood. As Katie reads on, she realizes that the man she loves is Suzanne's husband. Now, filled with terror and hope, Katie must struggle to understand what has happened - and find out if her new love has a prayer of surviving.",2003
9780446611916,Up Country,Nelson DeMille,Fiction,http://books.google.com/books/content?id=bVflWIEA-ckC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Retired Army investigator Paul Brenner is called back into service to investigate the death of a soldier thirty years earlier in Vietnam--a case that stirs up many unpleasant memories. Reprint.,2003
9780446612623,Reversible Errors,Scott Turow,Fiction,http://books.google.com/books/content?id=bRSV77Q9KsMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Corporate lawyer Arthur Raven is the court-appointed attorney for a Death Row inmate. Convinced his client is innocent thanks to new evidence, Raven is a fervent crusader--and also a rookie in the vicious world of criminal law.",2003
9780446614160,Words of Silk,Sandra Brown,Fiction,http://books.google.com/books/content?id=9QiYGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Laney McLeod's life changes the minute she gets stuck in an elevator in Manhattan-and relies on handsome stranger Deke Sargent to help her fight her claustrophobia. When the power comes back on, Deke and Laney find themselves in a passionate embrace that leads to a night of love. Shocked at her indiscretion, Laney disappears the next morning. Months later, she receives an even greater shock: Deke shows up in her life with an astounding announcement. Unable to forget the chemistry between them, but afraid that she's just another notch on this wealthy playboy's bedpost, Laney is about to discover an even deeper fear...one that she must face or forever lose the one man she can't resist.",2005
9780446616416,Kitty and the Midnight Hour,Carrie Vaughn,Fiction,http://books.google.com/books/content?id=UeIpVizqFbIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Kitty Norville is a midnight-shift DJ for a Denver radio station-and a werewolf in the closet. Sick of lame song requests, she accidentally starts 'The Midnight Hour', a late-night advice show for the supernaturally disadvantaged. After desperate vampires, werewolves, and witches across the country begin calling in to share their woes, her new show is a raging success. But it's Kitty who can use some help. With one sexy werewolf-hunter and a few homicidal undead on her tail, Kitty may have bitten off more than she can chew...",2005
9780446616836,Love Beyond Reason,Sandra Brown,Fiction,http://books.google.com/books/content?id=srU7PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This story reflects the trends and attitudes that were popular at the time, but its theme are eternal and universal. As in all romance fiction, the plot revolves around star-crossed lovers. There are moments of passion, anguish, and tenderness-all integral facets of falling in love.",2005
9780446617451,The White Wolf's Son,Michael Moorcock,Fiction,http://books.google.com/books/content?id=rCd8PQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"- Aspect published the previous novel in the series, The Skrayling Tree, in hardcover (0-446-53104-9) in 2003 and in mass market (0-446-61340-1) in 7/04. The prior novel. The Dreamthief's Daughter (Aspect hardcover, 2001, 0-446-52618-5; mass market, 2002, 0-446-61120-4) received praise from the Washington Post, Denver Post, and Locus, where it was featured on the 2001 Recommended Reading list. - Aspect reissued Moorcock's classic Gloriana, or the Unfulfill'd Queen in trade paperback in 8/04. Gloriana won Moorcock the World Fantasy Award, the John W. Campbell Award, and the British Fantasy Award. - Moorcock's Elric the Eternal Champion saga has been optioned by Universal Pictures, with Chris and Paul Weitz (American Pie) producing. - Michael Moorcock is a vanguard author, editor, journalist, critic, and rock musician, who is editor of the controversial magazine New Worlds. A member of the Science Fiction and Fantasy Hall of Fame, Moorcock has won the Guardian Fiction Prize, the Nebula Award, the World Fantasy Award, and the British Fantasy Award, among others.",2006
